userName,score,at,content
Sarochni Roni,5,2022-02-15 10:20:21,Sertifikat vaksin
FREE FIRE,5,2022-02-15 10:19:11,Sangat bagus
Dwipras BLACKAS,4,2022-02-15 10:09:23,Ok deh
Ricky Badrun,1,2022-02-15 10:09:00,"Bagus yah aplikasinya saking bagusnya masuk juga susah nya minta ampun,kaya cari kerja...sebelas duabelas Puluhan kali tetep aja ngga bisa masuk Ini aplikasinya asli apa ngga ya ??"
Nining Sarmini,4,2022-02-15 10:08:54,M.6b yanszzz1 X z ny mo oIg 1h nqq🏁🏷😶😉kmn a J
Idun Redg,5,2022-02-15 10:08:39,Aplikasinya sangat bagus Bisa nge cek kapan di faksin lagi Dan juga gak perlu bawa kartu faksin kalau keluar rumah Pokoknya aplikasinya top deh👍👍👍
naylarn,1,2022-02-15 10:00:22,kalo lagi scan gagal mulu padahal udah di download ulang tetep aja ga bisa
Maulana Hidayat,5,2022-02-15 09:59:26,Oke untuk kalangan internal
ananda Fitri,3,2022-02-15 09:58:46,Sertifikat vaksin saya kenapa tidak keluar ya
Deiki Saputra,5,2022-02-15 09:58:12,BB e yg uuuf tlp aja hehe iya gan kalo ee h UU jujur EO rumah dd
Aan Supriatna,5,2022-02-15 09:55:30,Ok...ok....ok...
yuni naomita,5,2022-02-15 09:53:41,Terimakasih 💌
Novi Vie,5,2022-02-15 09:51:15,Ok
Badriatus Saadah,5,2022-02-15 09:49:47,Bagus
Didik Dowo,5,2022-02-15 09:49:31,"PmmJust r, zzxe. C JK- er l MyS. It"
Dimas faizul Anwar,1,2022-02-15 09:48:01,"Ini gmn ya,, saya sudah vaksin pertama sudah mau masuk yang kedua masih anda belum divaksin. Gmn kita bisa berpergian kalau begini"
Fitriyah Fitriyah,5,2022-02-15 09:47:43,Mantapp
RYAN FF,5,2022-02-15 09:46:13,Ok
Boejang Zefran Channel,5,2022-02-15 09:46:10,Good
W Bush suryono,1,2022-02-15 09:44:54,Aneh
ANDRIE MR,5,2022-02-15 09:43:20,Terbukti berguna dan dipakai dimanapun
Lisa D'bakoel omprengan,5,2022-02-15 09:42:58,Ok
ahmad yusuf,5,2022-02-15 09:42:44,Ok
Farel aja Farel aja,5,2022-02-15 09:41:50,Good
Rahmania Rahmania,5,2022-02-15 09:41:29,Mantap
Arlis Tandilembang,5,2022-02-15 09:41:02,Terbaik lah
Syakilla nur khanzada 1d,4,2022-02-15 09:39:18,Mau daftar vaksin g bsa😞
Jordan Kobe Rasyid,3,2022-02-15 09:39:16,kenapa kode otpnya munculnya lama sekali. mohon di perbaiki makasih
Om Butar,5,2022-02-15 09:37:51,Ok
Auliana Rahma,2,2022-02-15 09:35:52,Update mulu. Scan code nya kadng kebaca kadng ga lagi
Sartika Wistian,4,2022-02-15 09:34:39,Bagus
Arman Nurdiansyah,2,2022-02-15 09:32:18,"Saya sudah test antigen dan hasil syaa negatif kenapa status di disini masih warna hitam, saya tlp 119 ga ada respon juga sedangkan saya ke klinik saya antigen juga sama saja jawabannya, tolong jelaskan"
andre peace,3,2022-02-15 09:31:08,sangat membantu sekali
Firsan Bugis,5,2022-02-15 09:29:15,Sangat bermanfaat.
Saiful Azwan,1,2022-02-15 09:28:13,sertipikat paksinnya koq bisa raib.. benerin dong..
Tjie It Hau,5,2022-02-15 09:27:40,Mantap
Fera Setya Purnamasari,1,2022-02-15 09:26:52,Gimana sih ini apk saya sudah vaksin kok masih merah
Jimmy George,5,2022-02-15 09:25:35,Baik
sandra kamagi,5,2022-02-15 09:20:47,Lebih tingkatkan pelacakan kontak dan posisi gps
Radden Kochar.,1,2022-02-15 09:17:29,update kok muter2 doangan
abdul Rahim,5,2022-02-15 09:16:34,Ok
hahahihi hoho,2,2022-02-15 09:13:58,"Serius deh kenapa ngga bisa check out, terus masa tiba² check-in sendiri di tempat aku yang ngga bisa check out"
Firman'S Channel,5,2022-02-15 09:13:57,Okee
Mochamad Fajri,5,2022-02-15 09:12:49,mantap
Siti Maemona,3,2022-02-15 09:11:08,Baru Download
Setiawan Budhianto Setiawan,4,2022-02-15 09:08:58,Top
irfan irfan,1,2022-02-15 09:08:46,"Aplikasi peduli lindungi diri sendiri aja ini, bukan peduli lindungi orang, malah menyusahkan orang aja, masak sartifikat nya nggak muncul, malah muncul bertambah susah,,, udah berapakali di klim sartifikatnya malah nggak keluar2"
Ana Yuli,1,2022-02-15 09:07:18,Kok jadi ribet yah dikit-dikit update dikit-dikit error pas scan juga nge hang
uyi kopay,5,2022-02-15 09:03:06,Kenapa g di jadikan ktp digital aja... Jd semua urusan ada di 1 aplikasi...
Arkana Hikam,5,2022-02-15 09:02:29,Ok
Mohammad Irfan,5,2022-02-15 09:01:49,good
Jahotmauli Purba,4,2022-02-15 09:01:27,Ok mantap
Evasukawati 45,1,2022-02-15 08:59:37,saya sdh vaksin ke 2 tapi tetap tdk muncul sertifikat vaksin dan saya pcr hasil tgl 6 pebruari mau saya daftar obat gratis katanya nik saya blm terdaftar kan saya isoma perlu obat gratis
Ben Alexander,5,2022-02-15 08:58:50,"Mulai ada perbaruan lebih cepat di akses dari pada awal"" launching! Great👍👍👍"
Rio Madiun,5,2022-02-15 08:58:23,Mantab gan terimakasih
Endang Sulistiyani,1,2022-02-15 08:57:16,Kelamaan
Wahab Voung,5,2022-02-15 08:55:17,Aplikasi yang bagus dan bermanfaat
Bambang Irawan,4,2022-02-15 08:55:16,"Film pp, 2ll"
Adhitya Himawan,5,2022-02-15 08:51:38,oke
musyadad ulul fikri,4,2022-02-15 08:51:33,Makin bagus
Mangihut Sinaga,5,2022-02-15 08:47:13,Lengkap
Dendi Trisnandi,5,2022-02-15 08:46:56,Allhamdulilah sistem nya sudah mulai cepat...
Gembul Paijo78,5,2022-02-15 08:41:43,Oke keren
Supri Yanto,1,2022-02-15 08:41:12,"Duh ini gmn kox sertifikat vaksin saya belum keluar udh lama banget Lo.??gmn ini,,tolong lah perbaiki apk nya"
Nofk Stitch,1,2022-02-15 08:39:12,Nggak ngerti dan nggak paham.bagaimana caranya transfer data vaksin dari luar negeri ke aplikasi ini.sedangkan kemana mana di minta surat vaksin.ya kalau internetnya pas bagus bisa buka aplikasi luar negeri tersebut lha kalau pas lemot gimana coba???
syahrul putri,1,2022-02-15 08:33:50,"Apk nggak jelas. Masa hasil pcr yang seharusnya masih berlaku dalam apk tiba2 hilang waktu mau ditunjukin kebandara pula, padahal pesawatku pagi trus tiba2 siangnya muncul kembali. Apk nggak bertanggung jawab dah"
Yusuf Supriyafnan,5,2022-02-15 08:33:18,Sangat berguna
Yanto Depok,3,2022-02-15 08:31:56,Pusiing.... Gimana ya? munculnya itu itu terus...
Ahmad Sahen,5,2022-02-15 08:31:26,Mantap
I Wayan Sudana,5,2022-02-15 08:30:24,Baik
deden setiawan,5,2022-02-15 08:29:07,Bagus
apriyanto laksono,5,2022-02-15 08:28:59,Sangat cepat dan baik
JURAGAN DAMPU AWANG,1,2022-02-15 08:28:01,🙄BENTAR2 PERBARUI CARI UNTUNG APAA SITU HAH
Yosi Lasari,4,2022-02-15 08:27:13,Mantap mudah di akses dan menunya di mudah di pahami
Takdir Amir,5,2022-02-15 08:23:09,sangat berguna
Nai,5,2022-02-15 08:20:02,Mantap tap
Yuli Ferdianti,5,2022-02-15 08:17:40,"Saya sudah booster 6 september 2021 kmrn, tp knp etiket bru mncul .. jd gimana sertifikat vaksin 3 saya ga keluar jadinya"
Salman gaming,5,2022-02-15 08:17:34,Luar biasa mantap..
ALIP,1,2022-02-15 08:16:48,Mana kok gaj muncul itu nya yang buat valsin booster? Penipu ni
retno wati,5,2022-02-15 08:15:55,❤️❤️❤️❤️
Rtienk Meditono,5,2022-02-15 08:15:39,Semoga sehat selalu aamiin
Arsila Ramadania,5,2022-02-15 08:15:35,👍👍👍
Muhamad rafi satria,4,2022-02-15 08:15:01,"Aplikasi sangat membantu, tapi saya sudah vaksin 2 dosis, kenapa sertifikatnya gak muncul sampai sekarang? Sedangkan vaksin dosis 2 sudah lumayan lama, mau chat kemana juga susah karna costumer service pasti dijawabnya sama bot"
ibnu panji,1,2022-02-15 08:14:27,aplikasi gk sinkron
Aprianus Rinto,5,2022-02-15 08:09:17,Saya sangat suka dengan ini
alni yabani,5,2022-02-15 08:07:35,Cukup baik
Latisha Ilmira,5,2022-02-15 08:06:53,Gg
Ahmadudibas dibas,4,2022-02-15 08:05:16,Tingkatkan layanan.
dwi 07,2,2022-02-15 08:02:15,6 ggx
Bagus Aldi Tresno07,5,2022-02-15 08:02:08,Ok
Syapei Abdulah,5,2022-02-15 08:01:20,Ooo
Suy4nto,5,2022-02-15 07:59:56,Membantu sekali utk proteksi diri
Chairul Islah,5,2022-02-15 07:59:05,Bagus
Yu No,3,2022-02-15 07:55:42,"Saya sudah di vaksin kenapa status masih belum di vaksin, padahal sertifikat vaksin sudah keluar"
Mupi Suryadi,5,2022-02-15 07:55:38,Baik
Donald Tobing,5,2022-02-15 07:55:09,Baik
Rasiti Rasiti,4,2022-02-15 07:51:11,Good
Ardiko Montemerano,5,2022-02-15 07:47:45,Bagus aplikasinya
enden sumantri,5,2022-02-15 07:43:31,Top
Stephen Kevin Giovanni,5,2022-02-15 07:39:51,"Cukup baik, tingkatkan dan pertahankan."
Dhanu Poetra,5,2022-02-15 07:33:37,Bagus lah sbg kontrol oleh yg berwenang
Adi Kuswanto,5,2022-02-15 07:33:15,Bagus aplikasinya
Erick dwi putra hanapi Erick,5,2022-02-15 07:31:41,Good
Dedy Supangkat,1,2022-02-15 07:29:44,Aplikasi gak guna . Sertifikat tidak muncuk
Junaedi Nedi,5,2022-02-15 07:29:43,Bagus
Wawan TheMoon,5,2022-02-15 07:28:25,Ok
DrGts 32,1,2022-02-15 07:26:56,Kok saya scan barcode cuma geter geter aja ya padahal sinyal bagus kenapa ya tolong dong kasih saran
Pice Pais,5,2022-02-15 07:26:07,Sya berterimakasi kepada aplikasi ini
ia sri Setiasih,5,2022-02-15 07:22:12,Bagus
Yonathan Pasker,1,2022-02-15 07:21:48,Z z-3💪a-aazxx
Syafri Syafriansyah,4,2022-02-15 07:21:26,Sangat memudahkan keperluan
Angela Nurfirstyani Putri,5,2022-02-15 07:19:21,Sudah membantu
Acu Syamsu,5,2022-02-15 07:18:57,Untuk me lindungi diri sendiri dan lindungi untuk orang lain..
Monika S,5,2022-02-15 07:18:56,Sangat 👍
Sudin Syamsudin,4,2022-02-15 07:18:06,Bagus
Sulistiya Sulis,5,2022-02-15 07:18:02,Kanapa sy mau buka sertifikst barkot balain gagal terus mohon penjelasan tha yau
Toto Brata Karta Sasmita,5,2022-02-15 07:17:28,Berita nya update
Rakhmad Firmansyah,4,2022-02-15 07:16:25,Mantab
Muhamad Hendriansyah,5,2022-02-15 07:15:53,Mantap
Alek Candra Candra,4,2022-02-15 07:15:26,lumayan baik
N.A.Y OFICIAL VLOG,5,2022-02-15 07:13:55,Cukup bagus dan memuaskan 👌
fshabrina Kadeg,1,2022-02-15 07:13:25,Aplikasi sampah
Bayu Prasetyo,5,2022-02-15 07:12:37,Ok
Nanda Zahra,1,2022-02-15 07:12:16,Kenapa aplikasi peduli lindungi tidak bisa di buka. Saya sudah berulang kali menginstal nya. Tapi tetap saja tidak bisa di buka. Mohon aplikasi nya di perbaiki lagi. Terima kasih
Putri Anna,4,2022-02-15 07:04:51,Yah walaupun menunggu lama setidaknya ada perubahan untuk setatus di aplnya
HUMAIDA IZZAH,5,2022-02-15 07:03:33,Good
Kadori Sby,5,2022-02-15 07:01:38,sangat membantu
Abidin Syahputra,5,2022-02-15 07:00:38,Bermanfaat
marlena ratulaini,5,2022-02-15 07:00:23,Bagus
yanti nurlaili,3,2022-02-15 06:56:32,Sebelumnya saya udah download aplikasi peduli lindungi dg kartu simpati tp skr hp nya ilang sama kartunya juga trs apabila saya perbarui peduli lindungi lagi dg nomer simpati yg baru apakah bisa mohon infonya...terima kasih
Menti Rahayu,5,2022-02-15 06:55:08,Mantap
Mulyadin Sitepu,5,2022-02-15 06:51:53,Baru di download
Akhmad Lutfi Hasbi,5,2022-02-15 06:51:00,Mantap
Wiwi Sujiarti,1,2022-02-15 06:50:53,Tolong direspon saya udah 2 hari mau download kok gabisa2 ya?? Cuma muter2 aja
Mangerbang Marpaung,5,2022-02-15 06:50:48,Sangat baik
Romi Febrian The Explorer,5,2022-02-15 06:45:04,Ok
Bambang Prabowo,5,2022-02-15 06:41:08,PeduliLindungi sangat membantu untuk kesehatan dan melakukan semua kegiatan
Erick Gotil,5,2022-02-15 06:40:23,jos
Sepia Imah,3,2022-02-15 06:39:35,"Bulan 1 tgl 11 2022 vaksin pertama tapi sampai sekarang belum ada SMS/ sertifikat vaksin nya,klo di cek keluar nya captcha salah terus, padahal di situ udah bener semua apa yang di suruh di bikin.tolong info nya kenapa bisa begitu ya"
Vem Ez,1,2022-02-15 06:39:02,"udaah 2 kali klaim sertifikat vaksin ilang setelah bbrp hari, segera perbaiki masalah ini"
Wahyu Ismanto,3,2022-02-15 06:36:03,Boros batre
barang ae,4,2022-02-15 06:35:03,nama sertivikat paksin beda sama ktp mungkin salah ketik gimana ya
Nurdin Suryana,2,2022-02-15 06:34:42,Saya belum vaksin booster tapi tiba2 saya ada sertifikat vaksin ke 3. Ketika saya mau daftar vaksin booster saya jadi tidak bisa karena di anggap sudah vaksin. Kira2 gimana solusinya supaya saya bisa vaksin booster?
dwi kristiati,1,2022-02-15 06:31:48,ribet
Su Tanto,1,2022-02-15 06:29:09,"Aplikasi gk jelas,,padahal sudah vaksin ke 2,malah nama anda tidak terdaptar"
Deni Supriyono,2,2022-02-15 06:28:06,Saya sudah vaksin ke satu dan hari ini saya sudah selesai vaksin ke 2 tapi kenapa yg muncul sertifikat vaksin nya cuman ada vaksin ke 1 aja ya.... Mohon perbaikannya
Atanasius Wilpy,5,2022-02-15 06:27:28,baik
PAJOKKA MAROS,1,2022-02-15 06:27:04,Utang Negara Ini sangat Banyak kepada Negara Lain sehingga Masyarakatnya sendiri di jadikan Mesin untuk menutupi utangnya dengan berbagai Macam Virus yg di buat Buat
Gendhis Queen,5,2022-02-15 06:26:40,👍👍👍
ASRULI BAHARUDIN NUHU,5,2022-02-15 06:23:10,Aplikasinya mantap
Oerip Toermiyono,5,2022-02-15 06:20:04,ManTab
Rimba Sport,4,2022-02-15 06:18:47,"Ribet , pakai nya susah bangat , saya cari sertifikat vaksin ku disini ga nemu"
suryono sri,5,2022-02-15 06:16:41,Sangat bermanfaat
Bangudhien Banten,1,2022-02-15 06:14:54,Pas masukin tgl lahir apk ini kurang efektif sueeee...!!!
Sam Sidar,3,2022-02-15 06:13:40,Perdana
Anis Takka,5,2022-02-15 06:12:42,Sangat membantu info nya
Triwahyu 1106,4,2022-02-15 06:09:56,Saya perbarui kok mau lihat sertifikat vaksin malah tidak bisa
Audrey Athiyyah,1,2022-02-15 06:09:45,Masa update lama si padahal.kouta banyak lo
Cindy Candra,2,2022-02-15 06:08:06,Tidak bisa di update setelah di instal ulang tetap gk mau surat vaksin saya gk bisa keluar saya kecewa..
Permenas Laktail,4,2022-02-15 06:07:33,aplikasi yang bagus dan memudahkan pengguna
Alip Muhamad,5,2022-02-15 06:07:13,"Bagaimana ini dr vaksin pertama sampai vaksin ke dua sudah selesai tapi sertifikat vaksin nya tak kunjung muncul,tar sya tambahin bintang nya klo sudah sempurna aplikasi nya"
Okhe Pawestri,1,2022-02-15 06:02:18,Sgt susah diakses
Gojek Indonesia,3,2022-02-15 06:01:33,"Nyedot kuota,,, kasihan lah kami cuma driver gojek"
Ridwan Iwan,3,2022-02-15 05:59:59,Cukup membantu
Salwa Zepeto,5,2022-02-15 05:59:57,Bagus
wily satria,4,2022-02-15 05:59:17,Cukup baik
Syawali Risya,1,2022-02-15 05:59:01,Apk jelek bikin kesel saat isi tgl lhir. Apk buruk
Sumarno Mar,1,2022-02-15 05:58:14,"Kasi bintang 🌟 saja, soalnya bingung cara pakainya, lebih bagus xg pertama menurut sy"
ndra doank.376,5,2022-02-15 05:57:00,Good
Kiki Nandayani,5,2022-02-15 05:56:07,Bagus
Surya Jv,5,2022-02-15 05:56:04,Sangat bagus
sugiarto elektro,5,2022-02-15 05:55:06,bagus
Darmadi Channel,5,2022-02-15 05:54:46,Mantaap
Ahmad Wildanfawwaz,5,2022-02-15 05:48:56,Sangat membantu
nurdin solehudin,1,2022-02-15 05:47:46,Tolol Scen QR Buat Masuk Kerja ? WAJIB ? KARTU PAKSIN BUAT APA ANJING :v
Yohanes joe,1,2022-02-15 05:44:47,Hasil antigen negatif tapi malah statusnya item. Aplikasi payah memang
ari Yanto,5,2022-02-15 05:44:27,Siip
MARTONO TONO,5,2022-02-15 05:44:15,Sangat membantu buat masyarakat.👍👍👍👍👍
Diana Dewi,5,2022-02-15 05:43:39,Mantap
Yuni Ralie,5,2022-02-15 05:41:48,Bagus
Nindy Pravitasari,2,2022-02-15 05:41:08,"Saya telah melakukan tes PCR tanggal 13/02 dan hasil keluar pada tanggal 14/02 di peduli lindungi sudah muncul hasil terkonfirm negatif tetapi kenapa pada hari ini saya cek riwayat PCR saya malah hilang ? Mengingat aplikasi ini sangat penting digunakan untuk akses ruang publik. Jangan sampai karena aplikasi belum maksimal, banyak warga yang mengalami kerugian, kesusahan bekerja karena akses aplikasi yang tidak jelas. Tolong supaya bisa menjadi perhatian bagi pengembang aplikasi PeduliLindungi."
Tatang Albantani,1,2022-02-15 05:40:47,"Aplikasi jlekkkkkk, Saya mengunakan apk ini darah tinggi saya makin naik"
natasa aulia natasa,1,2022-02-15 05:40:31,Saya mau masuk dari tadi ngak bisa
Dadan Akmal rabbani,1,2022-02-15 05:38:57,"Ganti dong untuk pilihan thn nya,,masa harus geser sebulan2,,gmn yg lahirnya thn 45,,harus seharian pilih thn hahahaha"
Mamat Mamat,5,2022-02-15 05:38:16,Sangat Bagus dn Memuaskan
ryan admmkt,1,2022-02-15 05:36:38,Tolong di linkin aplikasi ini dengan kemenkes kalo udah positif covid masa buat dapetin obatnya mesti pcr lagi
Sollyawa Yopus,5,2022-02-15 05:36:13,Bagus buat jalan kmna bebas
Novelia Tiarani Kuswandi,4,2022-02-15 05:32:51,Cukup membantu
Shanty Pratama,5,2022-02-15 05:32:36,Mamat supriyatna
Karlina Surbakti,1,2022-02-15 05:32:22,Kecewa ah sekarang sama aplikasi ini...semenjak di perbaharui malah sertifikat vaksin saya hilang terus di klaim sertifikat malah yg ada cuma vaksin pertama dan vaksin ke 2 gak ada
Devian Hulu,5,2022-02-15 05:32:08,Mntap
Zainuddin Zainuddin,5,2022-02-15 05:31:54,Mantul👍
Harianto Sugeng,5,2022-02-15 05:30:22,Sangat bermanfaat sekali
Mamondolreindra Mamondol,5,2022-02-15 05:29:42,Ok
Behold,1,2022-02-15 05:28:58,Aplikasi ngebug status hasil tes bisa berubah ubah ga jelas
Apup Rizwa,3,2022-02-15 05:28:55,I sjtj hyo
Halasan Sitorus,5,2022-02-15 05:27:45,Good
Yustin Anursari,5,2022-02-15 05:24:28,Terimakasih peduli lindungi
Bos Yahya,3,2022-02-15 05:21:14,Pelajar
Najuan Nangin,1,2022-02-15 05:19:34,"Aplikasi dangak, ntah apa fungsinya. Cek sertifikat vaksin saja ribet"
Erens Haumeni,5,2022-02-15 05:16:57,Sangat membantu
Indah Maria,4,2022-02-15 05:16:06,Tingkatkan pelayanan nya
vicky chubie,3,2022-02-15 05:16:02,"Mohon diselesaikan keluhannya . Vaksin ke 2 saya sudah 6bln,tapi kenapa belum mendapatkan e tiket utk vaksin ke 3 ? Tolong secepatnya dikirimkan e tiket untuk booster nya.. terimakasih"
Raffa Nizam,5,2022-02-15 05:15:07,Sangat membantu ☺️👍
Alsha channel,5,2022-02-15 05:14:27,Bagus
Hendi Hendi,5,2022-02-15 05:08:52,informatif sangat membantu
warsito WB,5,2022-02-15 05:07:46,Mantap
Dwita Sari,2,2022-02-15 05:06:58,Pake apk nya percuma krna setiap antigen selalu tdk ad tertulis d apk nya padahal antigen sesuai t4 yg sdh d rekomendasi kan .. Kan jd kayak percuma aja gitu ...
Romana Dingin Batubara,5,2022-02-15 05:06:45,Bagus dan sangat cepat dpt informasi
Muhammad Askar,5,2022-02-15 05:04:08,Luar biasa
Reyhan Safutra,5,2022-02-15 05:02:58,Bagus skli
anto ardisa,5,2022-02-15 05:00:10,mantap
siapsaji,4,2022-02-15 04:59:58,"biar bintang yg bicara. sekedar masukan Lemot, disuruh daftar, sudah terdaftar Ketika login balasannya belum terdaftar. Berulang"" seperti itu. jadi capek dech... Perbaiki nanti saya kasih bintang 6"
Sidrah Zamzami,4,2022-02-15 04:59:07,Nice
Maz Darus,5,2022-02-15 04:57:38,Sangat membantu
Abdulah Sanusi,5,2022-02-15 04:57:20,Bagus
Doge samurai,5,2022-02-15 04:56:57,Tapi kok kek kenal tempatnya yang belum stor buku yang belum pernah megang di sekolah nak datangki seperti temannya itu yg lu tonton nanti hari Sabtu tanggal 22 Juni mendatang akan setia menunggumu sampai di situ ada komentar adalah jalan ninjaku ada yg bisa di pondasi yang kuat untuk menjawab kebutuhan bangsa di masa lalu dan tetap semangat nak buat Yes
Kartu Sakti,5,2022-02-15 04:54:01,Ok banget
Tank Baxia,5,2022-02-15 04:53:59,Ok
Barumasuk Ke,1,2022-02-15 04:53:41,Payah
Futra Betara,1,2022-02-15 04:52:06,Belum sesuai harapan
Samsul Anwar,5,2022-02-15 04:51:54,Sangat suka
Evie,3,2022-02-15 04:49:42,"hasil antigen negatif dan sdh terupdate di aplikasi pedulilindungi, tetapi knpa tiba2 berubah warna menjadi hitam di esok harinya, dan hasil antigen negatif tdk muncul, yg muncul hasil antigen seminggu yang lalu. mohon solusinya"
Siti Nurjanah nah,5,2022-02-15 04:45:56,Semakin mudah untuk mengetahui zona2 aman
Cenho Hutabarat,5,2022-02-15 04:43:47,Mantap
Abdul Rasyid,5,2022-02-15 04:40:35,Berguna bermanfaat
Adi Wijaya,5,2022-02-15 04:40:17,Good
Ardyfix Ardyfix,5,2022-02-15 04:39:28,Oke
Dian Pratama,5,2022-02-15 04:37:29,Hidup sehat
Billi Rusdi,5,2022-02-15 04:37:17,Mantap
Alip Tripujianto,1,2022-02-15 04:34:51,Update terus
Dwi Susanto,5,2022-02-15 04:32:43,Kapan saya vaksin booster.
Edy gatut,5,2022-02-15 04:30:10,Bagus
Bli Bushu Tftt,5,2022-02-15 04:29:25,Ok
Kartiwa Tiwo123,4,2022-02-15 04:24:36,Ok .
Aris Kenarok,5,2022-02-15 04:24:03,Bagus ber manfat banget
Yayan Tox,1,2022-02-15 04:20:33,Tolong mau masukan tanggal nya di perbaiki.... Biar lebih muda
Ratih Rustiani,5,2022-02-15 04:20:15,Ga tau belum nyoba udah penuh aja beta nya
Agus Haerudin,4,2022-02-15 04:18:29,Mmlm xeon
BejoSumardi Sudi,5,2022-02-15 04:17:52,Baik
Viero Widyanto,5,2022-02-15 04:17:09,Good
Gusyoni,5,2022-02-15 04:13:51,Ok
ina anita,5,2022-02-15 04:11:53,Bagus
Satria Dedy,5,2022-02-15 04:10:37,Keren
SOIRIN,5,2022-02-15 04:08:48,Sangat memuaskan
Immas Faifi,5,2022-02-15 04:08:27,Sangat membantu sekali
Bayu Pramudya,1,2022-02-15 04:07:46,Peduli lingkungan
ANGGA Novianto,5,2022-02-15 04:05:57,oke
ismail syam,1,2022-02-15 04:05:21,Aplikasi bodoh.... Cuma masukan tgl lahir ribetnya
Insan Kelana,1,2022-02-15 04:04:46,Nyari tanggal lahir sampe ngabisin kuota...
Siti Saumi,5,2022-02-15 04:04:30,Bagus banget👍 aplikasinya
sisca meutia,5,2022-02-15 04:02:25,Smoga bs lebih baik
Sutiati Tobing,1,2022-02-15 04:01:01,"Loading lama (lola),dan nyedot batere bnyk pas diluar"
Cyintia Hasbullah,5,2022-02-15 03:59:57,Good
silas setyawan,5,2022-02-15 03:59:01,Good
Baryati Nurzani,5,2022-02-15 03:56:39,Gerak bersama untuk keselamatan semua.
irman delau,5,2022-02-15 03:55:41,Mantap banget pedulil lindungi sangat membantu pokonya mantap 👌👌🙏🙏👍👍
Achmat Saebani,3,2022-02-15 03:53:56,Coba dulu
Geby Anastasya,5,2022-02-15 03:51:56,Sangat senang dengan aplikasi ini
Anggi Ana,5,2022-02-15 03:51:02,Terima kasih
Abyaz Arya,5,2022-02-15 03:50:32,Keren
Fanissa Salbina,1,2022-02-15 03:46:51,"Sertifikat belum keluar, tetapi ada notifikasi vaksin pertama sudah selesai."
Deky Zulkarnain,4,2022-02-15 03:44:12,Diperbarui terus menerus
Nana Safriana,5,2022-02-15 03:41:22,Bagus
kk Komarudin79,5,2022-02-15 03:40:28,siep
Wikra Wardhana W2Garage,5,2022-02-15 03:38:19,Good
Lupus borneo Lupus,5,2022-02-15 03:38:10,ok
samair wawan,5,2022-02-15 03:37:54,Peduli lindungi saya tidak mau kebuka
Fitri fitri,5,2022-02-15 03:36:04,Okeee
Balmer Panjaitan,5,2022-02-15 03:34:11,Good aplikasi
Taufik Syukran,1,2022-02-15 03:29:56,"Apk burik, fitur nya ga bisa di pake"
Kisah Kisah,5,2022-02-15 03:29:55,"OK, UDAH BAGUS KOK, INI UDAH PAS, BISA TAMBAH BEBERAPA ORANG, MISALNYA KERABAT ATAU TETANGGA DAN UDAH BISA TAMBAH ANAK ANAK YANG DIBAWAH UMUR 11 TAHUN, INI UDAH KU KASIH BINTANG 5, TERIMA KASIH 😊😊"
Rudi Boti,1,2022-02-15 03:28:59,Pa mau nanya sertipikat paksin yang k 2 tanggal 23 janwari atas nama yoyo dan Aminah ko belum keluar
Dadan Mulyandani,5,2022-02-15 03:28:15,Sangat membantu
Siska Jonatan,5,2022-02-15 03:27:34,Trimakasihhh
eko syamsuddin,5,2022-02-15 03:25:18,Good
Tonny Padua Abu,5,2022-02-15 03:24:52,Keren
Mesak Renny,5,2022-02-15 03:24:49,Good job
Keluarga Srikaya,5,2022-02-15 03:20:54,Good👍👍
novi ramdhani,5,2022-02-15 03:17:27,Hebat
Folmer Sihite,5,2022-02-15 03:17:05,Mantap
Dani Ramdani,5,2022-02-15 03:14:29,👍
Adi Mulya Creators,3,2022-02-15 03:14:26,"Kasih 3 bintang dulu Aplikasinya belum saya pahami Dan yang aneh kenapa ada menu perjalanan Berarti divaksin bukan buat kesehatan ya Tapi buat jalan jalan, berkunjung ke mall, dll Coba lebih di perbaiki lagi Terutama tujuan di vaksin itu untuk apa Soalnya saya gak liat kalo di vaksin itu buat kesehatan Terimakasih"
Heni Heryani,5,2022-02-15 03:12:57,Sangat membantu
Pandu Widi,5,2022-02-15 03:09:18,Manrab...Sangat melindungi...
Ragil Muda,2,2022-02-15 03:09:09,Kenapa update lagi Loh kalo begini terus y hrs pke hp yg bagus
Sri Purwati,5,2022-02-15 03:06:04,Sangat bermanfaat punya aplikasi peduli lindungi
Baim Jinggo,1,2022-02-15 03:03:01,Ok
AFK SATRIA,5,2022-02-15 03:02:48,Mantap Keren Aplikasi nya
Abu Ridho Palembang,5,2022-02-15 03:02:23,Mantaf...
Putra Ardi,1,2022-02-15 02:59:43,Tidak berguna
wiarta utama,5,2022-02-15 02:59:31,Good
Arif Imawan,5,2022-02-15 02:54:20,Good
Anto Widi,5,2022-02-15 02:52:15,Good
Tiarani Melginda,5,2022-02-15 02:51:24,Membantu sekaliiiiiii
Cinta Zein,5,2022-02-15 02:51:10,Lebih inovatif
Randi Prayuda,1,2022-02-15 02:47:58,Coba ganti tanggal lahir sma tanggal vaksin jadi tertulis bukan kalender kn disini jadi susah tanggal tahun berpa skrng tahun brpa harus geser gser lgi perbaiki lah jgn menyulitkan
Benri,1,2022-02-15 02:47:40,Ribet ternomor 1
Misbah H.murtado,5,2022-02-15 02:47:10,Mantep
